,Model,Augmentation Color Space,Criterion Color Space,Criterion,Final Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Loss Plot,Accuracy Plot
12,Resnet,RGB,RGB,RMSE,0.12938547134399414,0.13314451277256012,0.12938547134399414,0.13314451277256012,./plots/Resnet_RGB_RGB_RMSE_loss_2023-04-05 15:59:59.951567.png,./plots/Resnet_RGB_RGB_RMSE_acc_2023-04-05 16:00:00.103148.png
13,Resnet,RGB,HSV,RMSE,0.3157358169555664,0.29835188388824463,0.3157358169555664,0.29835188388824463,./plots/Resnet_RGB_HSV_RMSE_loss_2023-04-05 16:00:06.014306.png,./plots/Resnet_RGB_HSV_RMSE_acc_2023-04-05 16:00:06.171948.png
14,Resnet,RGB,Hue,RMSE,0.10415729135274887,0.08644164353609085,0.10415729135274887,0.08644164353609085,./plots/Resnet_RGB_Hue_RMSE_loss_2023-04-05 16:00:11.937227.png,./plots/Resnet_RGB_Hue_RMSE_acc_2023-04-05 16:00:12.107361.png
15,Resnet,XYZ,RGB,RMSE,0.116701640188694,0.14962103962898254,0.116701640188694,0.14962103962898254,./plots/Resnet_XYZ_RGB_RMSE_loss_2023-04-05 16:00:18.220700.png,./plots/Resnet_XYZ_RGB_RMSE_acc_2023-04-05 16:00:18.400046.png
16,Resnet,XYZ,HSV,RMSE,0.21564342081546783,0.25684258341789246,0.21564342081546783,0.25684258341789246,./plots/Resnet_XYZ_HSV_RMSE_loss_2023-04-05 16:00:24.596453.png,./plots/Resnet_XYZ_HSV_RMSE_acc_2023-04-05 16:00:24.779803.png
17,Resnet,XYZ,Hue,RMSE,0.0789014995098114,0.01289977878332138,0.0789014995098114,0.01289977878332138,./plots/Resnet_XYZ_Hue_RMSE_loss_2023-04-05 16:00:30.427584.png,./plots/Resnet_XYZ_Hue_RMSE_acc_2023-04-05 16:00:30.620447.png
18,Custom,RGB,RGB,RMSE,0.03371496498584747,0.042281195521354675,0.03371496498584747,0.042281195521354675,./plots/Custom_RGB_RGB_RMSE_loss_2023-04-05 16:00:37.783280.png,./plots/Custom_RGB_RGB_RMSE_acc_2023-04-05 16:00:37.989967.png
19,Custom,RGB,HSV,RMSE,0.11954224109649658,0.06874965876340866,0.11954224109649658,0.06874965876340866,./plots/Custom_RGB_HSV_RMSE_loss_2023-04-05 16:00:45.188982.png,./plots/Custom_RGB_HSV_RMSE_acc_2023-04-05 16:00:45.400887.png
20,Custom,RGB,Hue,RMSE,0.08832807838916779,0.1880536526441574,0.08832807838916779,0.1880536526441574,./plots/Custom_RGB_Hue_RMSE_loss_2023-04-05 16:00:52.568583.png,./plots/Custom_RGB_Hue_RMSE_acc_2023-04-05 16:00:52.790394.png
21,Custom,XYZ,RGB,RMSE,0.04169498756527901,0.020147200673818588,0.04169498756527901,0.020147200673818588,./plots/Custom_XYZ_RGB_RMSE_loss_2023-04-05 16:01:00.088597.png,./plots/Custom_XYZ_RGB_RMSE_acc_2023-04-05 16:01:00.314818.png
22,Custom,XYZ,HSV,RMSE,0.17649517953395844,0.18258120119571686,0.17649517953395844,0.18258120119571686,./plots/Custom_XYZ_HSV_RMSE_loss_2023-04-05 16:01:07.488872.png,./plots/Custom_XYZ_HSV_RMSE_acc_2023-04-05 16:01:07.723913.png
23,Custom,XYZ,Hue,RMSE,0.06054210662841797,0.1839224398136139,0.06054210662841797,0.1839224398136139,./plots/Custom_XYZ_Hue_RMSE_loss_2023-04-05 16:01:14.965104.png,./plots/Custom_XYZ_Hue_RMSE_acc_2023-04-05 16:01:15.202704.png
