,Model,Augmentation Color Space,Criterion Color Space,Criterion,Final Train Loss,Final Test Loss,Final Train Accuracy,Final Test Accuracy,Loss Plot,Accuracy Plot
0,ViT,RGB,RGB,RMSE,0.03996008634567261,0.02928849495947361,0.03996008634567261,0.02928849495947361,./plots/ViT_RGB_RGB_RMSE_loss_2023-04-05 15:57:53.118740.png,./plots/ViT_RGB_RGB_RMSE_acc_2023-04-05 15:57:53.229679.png
1,ViT,RGB,HSV,RMSE,0.26593726873397827,0.09437158703804016,0.26593726873397827,0.09437158703804016,./plots/ViT_RGB_HSV_RMSE_loss_2023-04-05 15:58:04.034801.png,./plots/ViT_RGB_HSV_RMSE_acc_2023-04-05 15:58:04.097677.png
2,ViT,RGB,Hue,RMSE,0.10337041318416595,0.14382241666316986,0.10337041318416595,0.14382241666316986,./plots/ViT_RGB_Hue_RMSE_loss_2023-04-05 15:58:14.364393.png,./plots/ViT_RGB_Hue_RMSE_acc_2023-04-05 15:58:14.441216.png
3,ViT,XYZ,RGB,RMSE,0.04162945970892906,0.017142929136753082,0.04162945970892906,0.017142929136753082,./plots/ViT_XYZ_RGB_RMSE_loss_2023-04-05 15:58:25.275981.png,./plots/ViT_XYZ_RGB_RMSE_acc_2023-04-05 15:58:25.362883.png
4,ViT,XYZ,HSV,RMSE,0.1026735007762909,0.11180660128593445,0.1026735007762909,0.11180660128593445,./plots/ViT_XYZ_HSV_RMSE_loss_2023-04-05 15:58:36.051108.png,./plots/ViT_XYZ_HSV_RMSE_acc_2023-04-05 15:58:36.144695.png
5,ViT,XYZ,Hue,RMSE,0.12667164206504822,0.04272249713540077,0.12667164206504822,0.04272249713540077,./plots/ViT_XYZ_Hue_RMSE_loss_2023-04-05 15:58:46.291119.png,./plots/ViT_XYZ_Hue_RMSE_acc_2023-04-05 15:58:46.391368.png
6,Beit,RGB,RGB,RMSE,0.15523341298103333,0.11233250796794891,0.15523341298103333,0.11233250796794891,./plots/Beit_RGB_RGB_RMSE_loss_2023-04-05 15:58:57.444278.png,./plots/Beit_RGB_RGB_RMSE_acc_2023-04-05 15:58:57.554750.png
7,Beit,RGB,HSV,RMSE,0.272177129983902,0.1283075511455536,0.272177129983902,0.1283075511455536,./plots/Beit_RGB_HSV_RMSE_loss_2023-04-05 15:59:08.691863.png,./plots/Beit_RGB_HSV_RMSE_acc_2023-04-05 15:59:08.808720.png
8,Beit,RGB,Hue,RMSE,0.05728156119585037,0.08860640227794647,0.05728156119585037,0.08860640227794647,./plots/Beit_RGB_Hue_RMSE_loss_2023-04-05 15:59:20.240169.png,./plots/Beit_RGB_Hue_RMSE_acc_2023-04-05 15:59:20.414569.png
9,Beit,XYZ,RGB,RMSE,0.2348390370607376,0.03269180655479431,0.2348390370607376,0.03269180655479431,./plots/Beit_XYZ_RGB_RMSE_loss_2023-04-05 15:59:31.580787.png,./plots/Beit_XYZ_RGB_RMSE_acc_2023-04-05 15:59:31.713813.png
10,Beit,XYZ,HSV,RMSE,12.828580856323242,12.570507049560547,12.828580856323242,12.570507049560547,./plots/Beit_XYZ_HSV_RMSE_loss_2023-04-05 15:59:43.207065.png,./plots/Beit_XYZ_HSV_RMSE_acc_2023-04-05 15:59:43.344417.png
11,Beit,XYZ,Hue,RMSE,0.07586231827735901,0.0009249108843505383,0.07586231827735901,0.0009249108843505383,./plots/Beit_XYZ_Hue_RMSE_loss_2023-04-05 15:59:54.388509.png,./plots/Beit_XYZ_Hue_RMSE_acc_2023-04-05 15:59:54.540686.png
